"Kerncijfers wijken en buurten 2014"
"Onderwerpen";"Regioaanduiding";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen"
"Onderwerpen";"Codering";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van huishoudens";"Inkomen van huishoudens";"Inkomen van huishoudens";"Inkomen van huishoudens"
"Onderwerpen";"Codering";"Aantal inkomensontvangers  ";"Gemiddeld inkomen per inkomensontvanger ";"Gemiddeld inkomen per inwoner ";"40% personen met laagste inkomen";"20% personen met hoogste inkomen";"Actieven 15-75 jaar";"40% huishoudens met laagste inkomen";"20% huishoudens met hoogste inkomen";"Huishoudens met een laag inkomen";"Huish. onder of rond sociaal minimum"
"Wijken en buurten";"code";"aantal";"x 1 000 euro";"x 1 000 euro";"%";"%";"%";"%";"%";"%";"%"
"Martenshoek";"BU00180105";"500";"23.0";"19.6";"52";"12";"44";"54";"9";"12";"10"
"Industriegebied Martenshoek";"BU00180106";"400";"25.5";"19.1";"38";"12";"61";"28";"16";"6";"5"
"Stadshart-Noord";"BU00180107";"300";"22.0";"19.1";"49";"5";"54";"72";"2";"24";"19"
"Wijk 02 Hoogezand-Zuid";"WK001802";"8900";"21.1";"16.0";"52";"7";"44";"55";"5";"18";"15"
"Spoorstraat en Kieldiep";"BU00180201";"1200";"20.2";"15.4";"53";"5";"42";"66";"4";"27";"21"
"Burgemeester van Royenstraat en omgeving";"BU00180202";"600";"22.5";"18.0";"49";"9";"48";"51";"9";"14";"10"
"Gorecht-Noord";"BU00180203";"1200";"18.5";"16.2";"63";"3";"31";"73";"1";"12";"13"
"Gorechtpark";"BU00180204";"0";".";".";".";".";".";".";".";".";"."
"Gorecht-West";"BU00180205";"1900";"18.7";"13.1";"58";"4";"37";"58";"5";"25";"20"
"Woldwijck-West";"BU00180206";"1500";"25.2";"18.4";"40";"14";"60";"30";"12";"10";"7"
"Woldwijck-Midden";"BU00180207";"1300";"20.5";"15.8";"54";"6";"41";"65";"2";"23";"18"
"Woldwijck-Oost";"BU00180208";"1000";"22.3";"15.8";"47";"9";"50";"39";"6";"13";"11"
"Kropswolderpolder";"BU00180209";"0";".";".";".";".";".";".";".";".";"."
"Gorechtpark-Oost";"BU00180210";"300";"26.7";"24.1";"43";"15";"41";"33";"12";"2";"2"
"Wijk 03 Kalkwijk";"WK001803";"2300";"31.2";"24.0";"35";"24";"57";"24";"25";"4";"4"
"Stadshart-Zuid";"BU00180301";"200";"21.6";"21.2";"53";"4";"14";"60";"1";"7";"8"
"Zuiderpark";"BU00180302";"600";"30.0";"24.5";"39";"21";"44";"30";"19";"4";"4"
"De Dreven";"BU00180303";"600";"34.7";"29.5";"34";"31";"53";"12";"40";"1";"1"
"De Vosholen-West";"BU00180304";"700";"32.6";"20.4";"26";"26";"78";"10";"30";"3";"3"
"Kalkwijk-Zuid";"BU00180305";"100";"31.1";"25.6";"42";"25";"58";".";".";".";"."
"Kalkwijk-Noord";"BU00180306";"0";".";".";".";".";".";".";".";".";"."
"Wijk 05 Kiel-Windeweer";"WK001805";"700";"28.2";"21.9";"38";"21";"59";"24";"22";"8";"6"
"Kiel-Windeweer";"BU00180501";"500";"29.1";"22.7";"35";"22";"62";"23";"23";"7";"5"
"Kiel-Windeweer Buiten";"BU00180502";"200";"25.4";"19.5";"47";"16";"49";".";".";".";"."
"Wijk 06 Kropswolde";"WK001806";"1300";"41.4";"31.6";"31";"34";"56";"20";"41";"8";"6"
"Recreatiegebied Meerwijck";"BU00180601";"100";"25.5";"20.0";"42";"14";"59";".";".";".";"."
"Polder Kropswolde";"BU00180602";"100";".";"26.5";".";".";".";".";".";".";"."
"Meerwijck";"BU00180603";"800";"49.1";"37.7";"25";"44";"56";"9";"55";"4";"2"
"Polder Wolfsbarge";"BU00180604";"100";".";"19.3";".";".";".";".";".";".";"."
"Kropswolderbuitenpolder";"BU00180605";"100";".";".";".";".";".";".";".";".";"."
"Kropswolde";"BU00180606";"100";"31.5";"23.9";"46";"18";"43";".";".";".";"."
"Wijk 07 Foxhol";"WK001807";"800";"23.0";"17.3";"45";"11";"55";"51";"7";"17";"11"
"Foxhol";"BU00180701";"700";"22.9";"17.3";"44";"10";"54";"52";"5";"18";"11"
"Foxholsterbosch";"BU00180702";"100";"23.1";"17.5";"50";"15";"57";".";".";".";"."
"Wijk 08 Westerbroek";"WK001808";"600";"28.1";"22.0";"36";"19";"63";"33";"18";"8";"6"
"Westerbroekstermolenpolder";"BU00180801";"200";"27.8";"22.6";"39";"21";"64";"30";"23";"8";"7"
"Westerbroekstermadepolder";"BU00180802";"0";".";".";".";".";".";".";".";".";"."
"Industriegebied Winschoterdiep";"BU00180803";"100";"26.1";"19.7";"34";"17";"65";".";".";".";"."
"Westerbroek";"BU00180804";"300";"29.1";"22.3";"34";"19";"61";"34";"16";"7";"5"
"Wijk 09 Waterhuizen";"WK001809";"0";".";".";".";".";".";".";".";".";"."
"Waterhuizen";"BU00180901";"0";".";".";".";".";".";".";".";".";"."
"Wijk 11 Sappemeer";"WK001811";"5800";"25.7";"20.0";"43";"15";"57";"42";"14";"11";"8"
"Magrietpark";"BU00181101";"1400";"22.0";"17.6";"51";"8";"48";"58";"6";"15";"10"
"Sappemeer-Oost";"BU00181102";"600";"26.5";"20.9";"39";"16";"59";"35";"18";"9";"7"
"Boswijck-West";"BU00181103";"1000";"23.8";"18.3";"43";"10";"57";"51";"7";"18";"14"
"Boswijck-Oost";"BU00181104";"300";"26.4";"21.5";"40";"16";"59";"37";"11";"6";"7"
"Compagniesterpark";"BU00181105";"1200";"27.6";"20.4";"39";"19";"61";"33";"19";"7";"4"
"De Vosholen-Oost";"BU00181106";"300";"33.6";"25.7";"32";"29";"68";"17";"44";"3";"3"
"Nieuw Woelwijck";"BU00181107";"200";"29.4";"24.1";"44";"21";"56";"32";"27";"10";"7"
"Polder De Nijverheid";"BU00181108";"0";".";".";".";".";".";".";".";".";"."
"Sappemeer-Noord";"BU00181109";"600";"26.5";"20.6";"39";"17";"58";"33";"20";"6";"5"
"Leek";"GM0022";"14600";"27.4";"20.9";"42";"17";"58";"38";"18";"9";"7"
"Wijk 00 Leek";"WK002200";"7900";"26.8";"20.5";"43";"16";"56";"40";"16";"9";"7"
"Diepswal";"BU00220001";"500";"39.7";"28.6";"33";"33";"65";"14";"42";"4";"3"
"Centrum Leek en omgeving";"BU00220002";"3100";"22.0";"17.9";"49";"7";"52";"55";"6";"11";"9"
"Rodenburg en omgeving";"BU00220003";"3200";"26.0";"19.7";"43";"15";"54";"37";"16";"8";"7"
"Nienoordsrand";"BU00220004";"300";"43.5";"37.6";"32";"39";"39";"8";"50";"3";"3"
"Buitengebied ten oosten van Leek";"BU00220008";"0";".";".";".";".";".";".";".";".";"."
"Buitengebied ten zuiden van Leek";"BU00220009";"800";"35.1";"21.9";"29";"31";"75";"12";"37";"4";"4"
"Wijk 01 Zevenhuizen";"WK002201";"2100";"27.2";"20.6";"43";"17";"62";"31";"22";"7";"5"
"Bebouwde kom Zevenhuizen";"BU00220100";"1000";"24.7";"18.9";"48";"13";"62";"42";"13";"8";"6"
"De Haspel";"BU00220101";"200";"24.4";"18.9";"35";"19";"67";".";".";".";"."
"Drostinnewijk";"BU00220102";"100";"31.3";"21.8";"37";"21";"66";".";".";".";"."
"Boerenstreek";"BU00220103";"100";".";".";".";".";".";".";".";".";"."
"Buitengebied ten noorden van Zevenhuizen";"BU00220107";"100";".";"33.4";".";".";".";".";".";".";"."
"Buitengebied ten oosten van Zevenhuizen";"BU00220108";"100";"28.4";"22.6";"45";"26";"60";".";".";".";"."
"Buitengebied ten westen van Zevenhuizen";"BU00220109";"500";"28.8";"21.7";"42";"18";"59";"20";"33";"5";"4"
"Wijk 02 Tolbert";"WK002202";"3300";"28.3";"21.6";"40";"19";"57";"37";"18";"10";"8"
"Bebouwde kom Tolbert";"BU00220200";"1300";"29.1";"22.5";"39";"21";"58";"37";"20";"10";"6"
"Sint Maheerdt";"BU00220201";"1600";"27.5";"20.7";"40";"18";"56";"39";"15";"11";"8"
"Buitengebied Tolbert";"BU00220209";"400";"29.3";"22.3";"41";"19";"56";"29";"30";"12";"12"
"Wijk 04 Midwolde";"WK002204";"300";"31.9";"25.8";"40";"22";"62";"24";"33";"6";"6"
"Bebouwde kom Midwolde";"BU00220400";"100";".";".";".";".";".";".";".";".";"."
"Pasop";"BU00220401";"100";".";"28.2";".";".";".";".";".";".";"."
"Buitengebied Midwolde";"BU00220409";"200";"31.6";"24.6";"41";"22";"59";".";".";".";"."
"Wijk 05 Lettelbert";"WK002205";"100";"25.6";"21.2";"49";"14";"58";".";".";".";"."
"Bebouwde kom Lettelbert";"BU00220500";"100";".";".";".";".";".";".";".";".";"."
"Buitengebied Lettelbert";"BU00220509";"100";".";".";".";".";".";".";".";".";"."
"Wijk 06 Oostwold";"WK002206";"500";"27.8";"21.2";"39";"18";"61";"43";"19";"10";"8"
"Bebouwde kom Oostwold";"BU00220600";"400";"27.1";"20.5";"39";"17";"60";"44";"18";"10";"8"
"Buitengebied-Oostwold";"BU00220609";"100";".";"24.9";".";".";".";".";".";".";"."
"Wijk 07 Enumatil";"WK002207";"200";"27.3";"19.9";"35";"19";"65";"33";"23";"7";"6"
"Bebouwde kom Enumatil";"BU00220700";"200";"27.5";"19.4";"33";"20";"67";".";".";".";"."
"Buitengebied Enumatil";"BU00220709";"100";".";".";".";".";".";".";".";".";"."
"Loppersum";"GM0024";"7800";"26.6";"20.6";"42";"16";"58";"39";"18";"10";"7"
"Wijk 00";"WK002400";"2900";"26.7";"21.0";"43";"17";"56";"39";"17";"8";"6"
"Loppersum";"BU00240000";"1900";"25.8";"20.0";"45";"15";"55";"42";"15";"7";"6"
"Garrelsweer";"BU00240001";"400";"25.9";"20.4";"41";"14";"57";"39";"17";"10";"8"
"Wirdum";"BU00240002";"300";"30.4";"25.3";"38";"24";"55";"34";"22";"9";"9"
"Wirdumerdraai";"BU00240003";"100";"27.3";"21.4";"41";"18";"55";".";".";".";"."
"Winneweer (gedeeltelijk)";"BU00240005";"0";".";".";".";".";".";".";".";".";"."
"Verspr.h. Eemskanaal en Damsterdiep";"BU00240008";"100";".";"20.9";".";".";".";".";".";".";"."
"Verspr.h. ten N. van het Damsterdiep";"BU00240009";"200";"33.8";"27.4";"34";"26";"64";".";".";".";"."
"Wijk 01 Stedum";"WK002401";"1300";"27.3";"21.3";"39";"18";"62";"34";"19";"8";"6"
"Stedum";"BU00240100";"700";"25.8";"19.8";"41";"15";"63";"38";"15";"9";"7"
"Westeremden";"BU00240101";"300";"30.9";"24.9";"32";"27";"63";"28";"24";"5";"4"
"Garsthuizen (gedeeltelijk)";"BU00240102";"200";"26.0";"20.8";"37";"12";"58";".";".";".";"."
"Verspr.h. Stedum inclusief Startenhuizen";"BU00240109";"200";"28.7";"22.5";"45";"21";"63";".";".";".";"."
"Wijk 02 Middelstum";"WK002402";"2000";"26.1";"19.7";"43";"15";"58";"43";"17";"11";"8"
"Middelstum";"BU00240200";"1500";"25.2";"19.0";"44";"13";"56";"47";"13";"12";"8"
"Westerwijtwerd";"BU00240201";"100";".";"22.4";".";".";".";".";".";".";"."
"Huizinge";"BU00240202";"100";".";"23.1";".";".";".";".";".";".";"."
"Toornwerd";"BU00240203";"100";".";".";".";".";".";".";".";".";"."
"Verspreide huizen Middelstum";"BU00240209";"200";"25.9";"19.4";"44";"15";"60";"30";"31";".";"."
"Wijk 03 't Zandt";"WK002403";"1700";"26.5";"20.6";"42";"16";"58";"38";"18";"12";"7"
"'t Zandt";"BU00240300";"500";"24.6";"19.3";"45";"14";"54";"46";"10";"15";"8"
"Zeerijp";"BU00240301";"300";"24.9";"18.3";"45";"15";"64";"37";"17";"12";"6"
"Zijldijk";"BU00240302";"100";"26.6";"20.7";"35";"13";"51";".";".";".";"."
"Leermens";"BU00240303";"200";"26.4";"21.0";"46";"18";"60";".";".";".";"."
"Oosterwijtwerd";"BU00240304";"100";"29.5";"23.2";"34";"18";"62";".";".";".";"."
"Eenum";"BU00240305";"100";".";".";".";".";".";".";".";".";"."
"Verspreide huizen 't Zandt";"BU00240309";"300";"30.3";"23.7";"42";"23";"61";"26";"35";"9";"8"
"Marum";"GM0025";"7800";"26.7";"20.2";"42";"16";"60";"35";"21";"8";"6"
"Wijk 00 Marum";"WK002500";"5900";"27.0";"20.3";"42";"16";"59";"35";"21";"8";"6"
"Marum";"BU00250000";"3800";"26.7";"19.8";"43";"16";"58";"39";"18";"9";"6"
"Nuis";"BU00250002";"500";"26.6";"20.4";"38";"14";"61";"28";"24";"7";"5"
"Niebert";"BU00250003";"400";"26.7";"21.2";"42";"16";"59";"27";"28";"5";"4"
"Boerakker";"BU00250004";"300";"24.9";"18.7";"44";"13";"62";"31";"17";"6";"5"
"Lucaswolde";"BU00250005";"200";"30.6";"23.2";"32";"24";"69";".";".";".";"."
"Noordwijk";"BU00250006";"200";"27.3";"20.2";"39";"20";"63";".";".";".";"."
"De Haar";"BU00250007";"100";"28.5";"20.5";"42";"23";"53";".";".";".";"."
"Verspreide huizen in het noordwesten";"BU00250008";"200";"27.3";"21.1";"40";"17";"66";".";".";".";"."
"Verspreide huizen in het noordoosten";"BU00250009";"300";"31.1";"24.1";"42";"20";"59";"28";"33";"8";"4"
"Wijk 01 De Wilp";"WK002501";"1800";"25.5";"20.1";"43";"14";"62";"35";"19";"8";"5"
"De Wilp (gedeeltelijk)";"BU00250100";"1000";"25.0";"19.4";"42";"12";"64";"41";"13";"8";"6"
"Wilpstervaart";"BU00250101";"100";".";".";".";".";".";".";".";".";"."
"Keuningswijk";"BU00250102";"200";"24.4";"20.4";"44";"13";"60";".";".";".";"."
"Jonkersvaart";"BU00250104";"200";"25.2";"19.9";"47";"12";"62";".";".";".";"."
"Verspr.h. ten noorden van Jonkersvaart";"BU00250108";"200";"29.7";"24.6";"45";"24";"62";".";".";".";"."
"Verspr.h. ten noorden van de Wilp";"BU00250109";"200";"25.0";"19.2";"48";"14";"55";".";".";".";"."
"Almere";"GM0034";"142900";"30.4";"22.6";"36";"22";"61";"35";"22";"12";"9"
"Wijk 01 Almere-Haven";"WK003401";"17000";"29.1";"22.8";"39";"18";"54";"43";"17";"15";"12"
"Centrum Almere-Haven";"BU00340101";"1200";"24.9";"20.9";"44";"13";"47";"59";"7";"19";"16"
"De Werven";"BU00340102";"2000";"23.7";"18.4";"45";"10";"50";"53";"8";"19";"15"
"De Hoven";"BU00340103";"1800";"25.0";"18.9";"43";"12";"53";"54";"11";"20";"17"
"De Meenten";"BU00340104";"1700";"28.9";"23.1";"35";"20";"58";"38";"18";"11";"9"
"De Grienden";"BU00340105";"1800";"29.0";"22.8";"39";"19";"54";"36";"18";"9";"8"
"De Marken";"BU00340106";"2200";"28.0";"21.8";"38";"18";"54";"34";"18";"11";"8"
"De Gouwen";"BU00340107";"2100";"31.0";"24.8";"34";"24";"57";"30";"24";"8";"6"
"De Wierden";"BU00340108";"2500";"22.5";"17.4";"47";"9";"47";"57";"8";"22";"18"
"De Velden";"BU00340109";"1200";"48.8";"37.2";"28";"43";"63";"12";"56";"4";"3"
"Overgooi";"BU00340110";"300";"79.5";"51.7";"23";"58";"64";"11";"78";"7";"5"
"De Steiger";"BU00340171";"0";".";".";".";".";".";".";".";".";"."
"Stichtsekant";"BU00340173";"0";".";".";".";".";".";".";".";".";"."
"Verspreide Huizen Almere-Haven";"BU00340199";"0";".";".";".";".";".";".";".";".";"."
"Wijk 02 Almere-Stad";"WK003402";"79100";"30.1";"22.5";"36";"22";"61";"35";"23";"11";"9"
"Centrum Almere-Stad";"BU00340201";"3100";"31.6";"26.8";"34";"23";"63";"47";"11";"12";"10"
"Filmwijk";"BU00340202";"7900";"31.3";"23.5";"37";"24";"60";"34";"25";"12";"9"
"Danswijk";"BU00340203";"4100";"28.8";"20.4";"36";"20";"63";"32";"19";"11";"9"
"Parkwijk";"BU00340204";"4200";"31.9";"24.0";"37";"25";"58";"29";"30";"10";"8"
"Verzetswijk";"BU00340205";"2600";"32.6";"24.3";"34";"26";"63";"26";"29";"8";"7"
"Waterwijk";"BU00340206";"5900";"27.9";"21.7";"37";"18";"61";"35";"19";"11";"8"
"Staatsliedenwijk";"BU00340209";"1800";"22.0";"16.1";"46";"7";"52";"63";"6";"29";"22"
"Kruidenwijk";"BU00340210";"6200";"27.1";"20.9";"39";"17";"59";"38";"18";"12";"9"
"Stedenwijk";"BU00340211";"7500";"24.6";"18.5";"43";"12";"52";"48";"10";"17";"14"
"Literatuurwijk";"BU00340214";"6800";"32.1";"22.4";"35";"26";"64";"28";"30";"10";"8"
"Noorderplassen";"BU00340215";"4400";"41.1";"28.9";"24";"38";"73";"17";"44";"6";"5"
"Tussen de Vaarten";"BU00340220";"11000";"30.8";"21.9";"34";"24";"64";"30";"24";"10";"8"
"Muziekwijk";"BU00340221";"13500";"29.9";"23.2";"36";"22";"60";"33";"24";"9";"8"
"Randstad";"BU00340271";"0";".";".";".";".";".";".";".";".";"."
"Markerkant";"BU00340272";"0";".";".";".";".";".";".";".";".";"."
"Hollandsekant";"BU00340273";"0";".";".";".";".";".";".";".";".";"."
"Gooisekant";"BU00340274";"0";".";".";".";".";".";".";".";".";"."
"Veluwsekant";"BU00340275";"0";".";".";".";".";".";".";".";".";"."
"Sallandsekant";"BU00340276";"0";".";".";".";".";".";".";".";".";"."
"Verspreide huizen Almere-Stad";"BU00340299";"0";".";".";".";".";".";".";".";".";"."
"Wijk 03 Almere-Buiten";"WK003403";"39700";"30.4";"22.0";"36";"22";"62";"34";"22";"12";"9"
"Centrum Almere-Buiten";"BU00340301";"1100";"24.6";"19.8";"41";"11";"59";"59";"6";"17";"13"
"Oostvaardersbuurt";"BU00340302";"4100";"30.8";"21.2";"36";"24";"63";"28";"27";"12";"8"
"Seizoenenbuurt";"BU00340303";"3700";"32.3";"23.2";"34";"25";"65";"29";"25";"10";"8"
"Molenbuurt";"BU00340304";"3000";"24.3";"18.3";"44";"12";"52";"46";"12";"16";"12"
"Bouwmeesterbuurt";"BU00340305";"3400";"26.7";"20.3";"40";"16";"59";"39";"14";"11";"9"
"Landgoederenbuurt";"BU00340306";"3000";"30.7";"23.0";"36";"24";"61";"29";"26";"9";"7"
"Faunabuurt";"BU00340307";"3400";"30.0";"22.1";"37";"23";"61";"29";"29";"10";"8"
"Bloemenbuurt";"BU00340308";"4000";"28.0";"21.2";"39";"19";"58";"39";"18";"13";"10"
"Regenboogbuurt";"BU00340309";"3800";"31.0";"21.9";"34";"24";"62";"33";"22";"12";"9"
"Indischebuurt";"BU00340310";"900";"26.0";"20.1";"38";"14";"66";"53";"8";"15";"10"
"Eilandenbuurt";"BU00340311";"4100";"34.3";"24.0";"32";"28";"66";"30";"26";"12";"9"
"Stripheldenbuurt";"BU00340312";"4400";"33.4";"22.7";"28";"27";"70";"29";"27";"10";"7"
"Sieradenbuurt";"BU00340313";"800";"41.5";"29.9";"24";"37";"69";"16";"43";"4";"4"
"Poldervlak";"BU00340371";"0";".";".";".";".";".";".";".";".";"."
"De Vaart";"BU00340372";"0";".";".";".";".";".";".";".";".";"."
"Buitenvaart";"BU00340373";"200";"38.4";"29.2";"47";"20";"69";".";".";".";"."
"Verspreide huizen Almere-Buiten";"BU00340399";"0";".";".";".";".";".";".";".";".";"."
"Wijk 04 Almere-Poort";"WK003404";"6000";"33.8";"24.1";"24";"24";"75";"37";"19";"9";"6"
"Columbuskwartier";"BU00340402";"1400";"32.9";"21.9";"26";"24";"72";"34";"23";"12";"8"
"Homeruskwartier";"BU00340403";"3000";"33.6";"24.3";"24";"23";"78";"36";"17";"7";"5"
"Almeerderzand";"BU00340405";"100";"56.3";"51.3";"23";"50";"34";".";".";".";"."
"Europakwartier Oost";"BU00340420";"0";".";".";".";".";".";".";".";".";"."
"Europakwartier West";"BU00340421";"1500";"33.2";"24.4";"24";"25";"76";"41";"16";"10";"6"
"Olympiakwartier Oost";"BU00340422";"0";".";".";".";".";".";".";".";".";"."
"Olympiakwartier West";"BU00340423";"0";".";".";".";".";".";".";".";".";"."
"Hogekant";"BU00340471";"0";".";".";".";".";".";".";".";".";"."
"Middenkant";"BU00340472";"0";".";".";".";".";".";".";".";".";"."
"Lagekant";"BU00340473";"0";".";".";".";".";".";".";".";".";"."
"Verspreide huizen Almere-Poort";"BU00340499";"0";".";".";".";".";".";".";".";".";"."
"Wijk 05 Almere-Hout";"WK003405";"1100";"53.4";"42.3";"26";"46";"60";"15";"55";"5";"4"
"Vogelhorst";"BU00340502";"900";"58.5";"45.9";"23";"51";"58";"9";"62";"3";"3"
"Nobelhorst";"BU00340503";"0";".";".";".";".";".";".";".";".";"."
"Twentsekant";"BU00340571";"0";".";".";".";".";".";".";".";".";"."
"Verspreide huizen Almere-Hout";"BU00340599";"200";"35.2";"28.7";"34";"32";"70";".";".";".";"."
"Wijk 06 Almere-Pampus";"WK003406";"0";".";".";".";".";".";".";".";".";"."
"Verspreide huizen Almere-Pampus";"BU00340699";"0";".";".";".";".";".";".";".";".";"."
"Stadskanaal";"GM0037";"25100";"23.7";"18.7";"48";"11";"52";"47";"11";"12";"9"
"Wijk 01 Stadskanaal";"WK003701";"15300";"23.6";"18.8";"49";"11";"51";"50";"10";"13";"9"
"Stadskanaal Centrum";"BU00370100";"1300";"21.2";"19.5";"57";"8";"43";"66";"5";"7";"7"
"Maarsstee";"BU00370101";"1000";"16.7";"13.6";"68";"2";"30";"78";"1";"28";"20"
"Maarswold";"BU00370102";"1700";"19.2";"15.4";"58";"4";"40";"66";"3";"15";"12"
"Maarsveld";"BU00370103";"2300";"21.8";"16.4";"49";"8";"51";"48";"6";"14";"10"
"De Hagen";"BU00370104";"1000";"23.4";"18.5";"46";"10";"55";"49";"8";"10";"7"
"Vogelwijk en de Borgen";"BU00370105";"2000";"29.2";"23.5";"38";"22";"57";"29";"21";"7";"5"
"Industriegebied";"BU00370106";"300";"23.8";"18.8";"48";"11";"61";"37";"16";"13";"10"
"Dideldom";"BU00370107";"300";"21.7";"16.6";"48";"8";"54";"37";"10";"8";"8"
"Parkwijk";"BU00370108";"2100";"23.3";"19.0";"50";"11";"51";"52";"9";"14";"10"
"Noord Landskant";"BU00370109";"700";"25.0";"19.3";"44";"13";"55";"35";"14";"9";"7"
"Centrum-Noord";"BU00370110";"1500";"26.0";"20.0";"45";"14";"55";"46";"15";"15";"10"
"Noord";"BU00370111";"600";"24.5";"19.0";"42";"14";"59";"34";"14";"10";"7"
"Waterland";"BU00370112";"600";"34.2";"25.9";"32";"28";"62";"16";"34";"4";"3"
"Wijk 02 Musselkanaal";"WK003702";"5500";"22.4";"17.6";"50";"9";"52";"48";"9";"12";"10"
"Musselkanaal Centrum";"BU00370200";"2800";"21.4";"16.9";"53";"7";"50";"54";"8";"14";"11"
"Zuid";"BU00370201";"1000";"24.6";"20.3";"46";"12";"54";"45";"13";"6";"6"
"Noord";"BU00370202";"1000";"23.5";"18.0";"45";"11";"57";"34";"11";"9";"7"
"Ceresdorp";"BU00370203";"700";"21.8";"16.7";"47";"6";"51";"46";"8";"16";"12"
"Wijk 03 Onstwedde";"WK003703";"2200";"24.9";"19.2";"47";"14";"55";"41";"17";"8";"7"
"Onstwedde";"BU00370300";"1400";"23.3";"17.9";"51";"11";"55";"47";"13";"9";"7"
"Holte";"BU00370301";"100";".";"19.1";".";".";"60";".";".";".";"."
"Buitengebied-Noord";"BU00370308";"200";"29.8";"24.4";"39";"22";"50";"21";"26";"5";"4"
"Buitengebied-Zuid";"BU00370309";"400";"27.4";"21.3";"39";"17";"57";"32";"27";"8";"7"
"Wijk 04 Mussel";"WK003704";"1100";"26.4";"19.5";"40";"15";"62";"30";"22";"8";"5"
"Mussel";"BU00370400";"700";"25.7";"18.2";"40";"13";"63";"31";"20";"7";"4"
"Kopstukken";"BU00370401";"100";"25.7";"21.0";"44";"20";"63";".";".";".";"."
"Vledderveen";"BU00370402";"200";"27.9";"22.1";"38";"17";"62";"30";"22";"10";"7"
"Verspreide huizen Mussel";"BU00370409";"100";".";"21.4";".";".";"57";".";".";".";"."
"Wijk 05 Alteveer";"WK003705";"900";"26.4";"20.2";"41";"15";"59";"36";"18";"6";"3"
"Alteveer";"BU00370500";"700";"25.4";"19.4";"42";"13";"59";"40";"14";"6";"3"
"Verspreide huizen Alteveer";"BU00370509";"200";"29.9";"22.9";"38";"24";"59";".";".";".";"."
"Slochteren";"GM0040";"11700";"28.8";"21.9";"39";"20";"60";"34";"21";"8";"6"
"Wijk 00 Slochteren-Kolham";"WK004000";"3500";"27.2";"21.4";"41";"16";"58";"38";"18";"9";"6"
"Slochteren";"BU00400000";"1600";"26.3";"20.4";"44";"15";"57";"44";"16";"11";"8"
"Kolham";"BU00400001";"700";"25.9";"20.8";"42";"16";"57";"41";"17";"11";"7"
"'s-Gravenschans en Ruiten";"BU00400002";"100";".";"29.8";".";".";".";".";".";".";"."
"Rengerslaan";"BU00400003";"100";"30.0";"24.4";"34";"19";"62";".";".";".";"."
"Knijpslaan";"BU00400004";"200";"26.8";"20.6";"40";"14";"61";"24";"15";"4";"2"
"Froombosch";"BU00400006";"600";"27.6";"21.8";"38";"17";"59";"30";"18";"4";"4"
"Verspr.h. ten oosten van Slochteren";"BU00400007";"100";".";"25.8";".";".";"55";".";".";".";"."
"Verspreide huizen ten zuiden van Kolham";"BU00400008";"0";".";".";".";".";".";".";".";".";"."
"Verspreide huizen in de Hooilandspolder";"BU00400009";"100";".";"23.1";".";".";"52";".";".";".";"."
"Wijk 01 Schildwolde-Hellum";"WK004001";"1700";"29.7";"21.8";"39";"21";"62";"34";"22";"7";"6"
"Schildwolde";"BU00400100";"1100";"29.0";"21.1";"39";"20";"63";"36";"21";"8";"6"
"Hellum";"BU00400101";"400";"32.9";"24.6";"38";"23";"63";"29";"23";"6";"5"
"Meenteweg";"BU00400102";"100";"28.6";"22.3";"35";"21";"53";".";".";".";"."
"Verspr.h. ten noorden van Het Siep";"BU00400108";"0";".";".";".";".";".";".";".";".";"."
"Verspreide huizen in De Zanden";"BU00400109";"0";".";".";".";".";".";".";".";".";"."
"Wijk 02 Siddeburen";"WK004002";"2900";"26.4";"20.3";"43";"17";"57";"38";"16";"8";"6"
"Siddeburen";"BU00400200";"2200";"25.2";"19.5";"45";"15";"57";"42";"13";"9";"6"
"Oudeweg en Hoofdweg en Oostwolderweg";"BU00400201";"100";"31.0";"21.2";"36";"25";"62";".";".";".";"."
"Steendam";"BU00400203";"100";"32.2";"26.9";"37";"27";"52";".";".";".";"."
"Tjuchem";"BU00400204";"100";"27.8";"22.7";"39";"13";"54";".";".";".";"."
"Verspr.h. in het Siddebuursterveen";"BU00400208";"100";"28.6";"23.2";"37";"21";"55";".";".";".";"."
"Verspr.h. ten noorden van Siddeburen";"BU00400209";"200";"31.3";"22.2";"35";"20";"65";"14";"28";"5";"5"
"Wijk 03 Harkstede";"WK004003";"3200";"32.5";"23.9";"34";"26";"64";"26";"29";"6";"5"
"Harkstede";"BU00400300";"1800";"31.4";"22.4";"35";"24";"64";"29";"26";"7";"5"
"Scharmer";"BU00400301";"700";"34.7";"27.1";"32";"29";"61";"21";"35";"4";"3"
"Hamweg";"BU00400302";"100";"32.3";"25.3";"36";"28";"63";".";".";".";"."
"Borgweg (gedeeltelijk)";"BU00400304";"100";"30.1";"23.3";"38";"29";"58";".";".";".";"."
"Verspreide huizen ten oosten van Hamweg";"BU00400308";"100";".";"24.0";".";".";".";".";".";".";"."
"Verspreide huizen in het Westen";"BU00400309";"400";"34.5";"25.2";"27";"28";"72";"23";"34";"8";"7"
