"Kerncijfers wijken en buurten 2014"
"Onderwerpen";"Regioaanduiding";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen"
"Onderwerpen";"Codering";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van huishoudens";"Inkomen van huishoudens";"Inkomen van huishoudens";"Inkomen van huishoudens"
"Onderwerpen";"Codering";"Aantal inkomensontvangers  ";"Gemiddeld inkomen per inkomensontvanger ";"Gemiddeld inkomen per inwoner ";"40% personen met laagste inkomen";"20% personen met hoogste inkomen";"Actieven 15-75 jaar";"40% huishoudens met laagste inkomen";"20% huishoudens met hoogste inkomen";"Huishoudens met een laag inkomen";"Huish. onder of rond sociaal minimum"
"Wijken en buurten";"code";"aantal";"x 1 000 euro";"x 1 000 euro";"%";"%";"%";"%";"%";"%";"%"
"Verspreide huizen Lutjegast";"BU00150109";"300";"28.0";"20.4";"39";"19";"63";"24";"34";"11";"10"
"Wijk 02 Opende";"WK001502";"2100";"25.1";"18.5";"43";"13";"58";"35";"16";"8";"5"
"Opende-West";"BU00150200";"800";"23.9";"17.8";"43";"10";"58";"38";"11";"9";"6"
"Opende-Oost";"BU00150201";"200";"23.0";"16.5";"45";"11";"58";"38";"14";"9";"5"
"Kornhorn";"BU00150202";"400";"24.4";"17.8";"45";"12";"52";"45";"10";"9";"6"
"Verspreide huizen ten zuiden van Opende";"BU00150209";"700";"27.5";"20.3";"40";"16";"62";"25";"24";"6";"4"
"Wijk 03 Oldekerk";"WK001503";"2100";"25.7";"19.2";"43";"15";"63";"31";"19";"7";"5"
"Niekerk";"BU00150300";"1000";"24.3";"18.4";"46";"13";"58";"36";"15";"7";"5"
"Oldekerk";"BU00150301";"600";"26.9";"19.9";"39";"14";"68";"28";"18";"5";"3"
"Verspreide huizen Oldekerk";"BU00150309";"400";"27.0";"20.2";"42";"20";"68";"24";"33";"10";"7"
"Haren";"GM0017";"14100";"36.9";"28.6";"35";"29";"56";"33";"29";"8";"6"
"Wijk 00 Centrum";"WK001700";"12800";"37.0";"28.6";"35";"29";"56";"33";"29";"8";"6"
"Haren";"BU00170000";"7200";"37.5";"30.1";"35";"29";"54";"37";"27";"8";"6"
"Oosterhaar";"BU00170001";"3700";"30.5";"22.5";"36";"24";"58";"30";"23";"8";"5"
"Voorveld";"BU00170002";"100";"57.6";"39.2";"33";"49";"52";".";".";".";"."
"Harenermolen";"BU00170003";"300";"51.7";"39.9";"28";"42";"52";"17";"51";"4";"3"
"Glimmen";"BU00170004";"800";"40.9";"31.4";"36";"32";"55";"24";"39";"6";"4"
"Hemmen";"BU00170005";"600";"54.9";"38.7";"26";"47";"65";"30";"51";"8";"6"
"Wijk 01 Land";"WK001701";"1400";"36.7";"29.3";"37";"29";"58";"26";"38";"8";"6"
"Noordlaren";"BU00170100";"300";"34.8";"28.1";"35";"29";"63";"26";"33";"8";"6"
"Onnen";"BU00170101";"400";"36.0";"27.3";"38";"25";"57";"29";"37";"9";"6"
"Paterswolde (gedeeltelijk)";"BU00170102";"100";".";".";".";".";".";".";".";".";"."
"Essen";"BU00170103";"100";".";".";".";".";".";".";".";".";"."
"Verspr.h. ten W. van Noord-Willemskanaal";"BU00170106";"100";".";"30.0";".";".";".";".";".";".";"."
"Verspreide huizen op de Hondsrug";"BU00170107";"200";"39.7";"33.5";"34";"36";"55";"23";"40";"10";"8"
"Verspreide huizen Onner Esch";"BU00170108";"200";"35.9";"29.1";"41";"29";"58";"20";"47";".";"."
"Verspr.h. ten oosten van de Hondsrug";"BU00170109";"0";".";".";".";".";".";".";".";".";"."
"Hoogezand-Sappemeer";"GM0018";"25800";"25.1";"19.4";"45";"13";"52";"47";"12";"14";"11"
"Wijk 01 Foxham en Hoogezand-Noord";"WK001801";"5400";"24.0";"19.5";"46";"11";"53";"55";"8";"15";"12"
"Noorderpark";"BU00180101";"2600";"21.8";"17.9";"50";"7";"49";"64";"4";"18";"14"
"Westerpark";"BU00180102";"700";"27.2";"21.9";"37";"17";"59";"44";"11";"8";"8"
"Beukemabuurt";"BU00180103";"200";"24.5";"19.6";"42";"12";"58";"58";"8";"10";"12"
"Oosterpark";"BU00180104";"500";"32.7";"25.5";"37";"25";"57";"26";"28";"10";"6"
